reaction,conv_5%,conv_10%,conv_interp
1,0.0337206966059827,0.0013795724056439142,0.023371536861874292
2,0.0019274301408368005,0.011073163962558736,0.00485406496378782
3,0.004497651449627669,0.01655106343740278,0.008354743285715704
4,0.017729998181027246,0.013105611024820846,0.016250194291041197
5,0.002923578494333201,6.890171373064765e-05,0.002010081924540384
6,0.02673746185555859,0.00026695837457890454,0.018266900741645088
7,0.002802981182629032,0.00028124636558426856,0.0019960260411747074
8,8.338149667977902e-05,0.0010723246477483146,0.00039984330502171035
9,0.021071610651295765,0.0009727435503012698,0.014639973178977528
10,0.002261909607682952,0.0010949511453270907,0.0018884828997290763
11,0.0003007581370235158,0.0010338256799310808,0.0005353397507539366
12,0.020543836491104365,0.00011109189905721035,0.014005358221649274
13,0.0001257968619067402,0.0020189341008190593,0.0007316007783586823
14,0.007421314067596604,0.0021343424721432264,0.005729483157051523
15,8.973317707455546e-05,0.002030332458480706,0.0007107249471245236
16,0.007571331680771246,0.0017553470798934948,0.0057102166084903655
17,4.044373323190574e-05,0.001622841172076856,0.0005468109136622899
18,0.00048739754011100413,0.0015900708937996273,0.0008402530132913635
19,7.64405045878447e-07,0.0007579907844994634,0.00024307684647102563
20,0.004826199865569715,0.0006269096713905337,0.0034824270034323765
21,0.003376272760228355,0.0005984137772364185,0.0024873578856709354
22,0.000126159170350276,0.0005642187042514803,0.00026633822119866135
23,0.0005134837480455833,0.0005243244524357192,0.0005169527734504267
24,0.00039886146420976484,0.0005129260947740731,0.00043536214599034347
25,0.0023029335764467667,0.0004630582800043714,0.0017141734815852001
26,0.006322231785033561,0.0004074912864038469,0.0044295148254720525
27,0.001033741821407511,0.0003462251139724992,0.0008137364750283072
