name,carbon_number
H2,0
CH4,1
MEOH,1
C2,2
C2-O,2
C3,3
C3-O,3
C4,4
C4-IP,4
C4-O,4
C5,5
C5-IP,5
C5-O,5
C5-N,5
C6-IP,6
C6,6
C6-O,6
C6-A,6
C6-N,6
C7,7
C7-IP,7
C7-O,7
C7-A,7
C7-N,7
C8,8
C8-IP,8
C8-O,8
C8-N,8
C8-A,8
C9,9
C9-IP,9
C9-O,9
C9-N,9
C9-A,9
C10,10
C10-IP,10
C10-O,10
C10-N,10
C10-A,10
C11,11
C11-IP,11
C11-A,11
C11-O,11
C12-IP,12
C12,12
C12-O,12
C12-A,12
C12-N,12
C13-IP,13
C13-O,13
C13,13
C14-IP,14
 C14 ,14
C15-IP ,15
C15,15
C16-IP,16
C16,16
C17-IP,17
C17,17
C18,18
C19,19
C20,20
C21,21
C22,22
C23,23
C24,24
C25,25
C26,26
C27,27
C28,28
C29,29
C30,30
C31,31
C32,32
C33,33
C34,34
C35,35
C36,36
C37,37
C38,38
C39,39
C40,40
C41,41
C42,42
C43,43
C44,44
C45,45
C46,46
C48,48
C50,50
C51,51
C52,52
C54,54
