n,year,CO2 feed,CO2 compression,H2 production,H2 compression,Power,Heating,CW,Steam,Operator,Maintenance,Overhead,CO2 ETS,FCI,Naphta Fossil,Naphtha ETS,Naphtha RED,Kero Fossil,Kero ETS, Kero RED,Kero ReFuel,Diesel Fossil,Diesel ETS,Diesel RED,Loan Annuity,Residual Debt,Interests,Principal Rep,Dep,Profit,Tax,DF,OCF,DCF,CCF
0.0,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307500.00000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717500.0,0.0,0.0,0.0,0.0,0.0,1.0,-307500.00000000006,-307500.00000000006,-307500.00000000006
1.0,2030.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,88461.25255687289,657738.7474431271,28700.0,59761.25255687289,102500.0,0.0,0.0,1.0861776,13488.16411987222,12418.009835474622,-295081.99016452546
2.0,2031.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,88461.25255687289,595587.0447839793,26309.549897725083,62151.702659147806,102500.0,0.0,0.0,1.1797817787417602,13488.16411987222,11432.761857245649,-283649.2283072798
3.0,2032.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,88461.25255687289,530949.2740184655,23823.481791359172,64637.77076551372,102500.0,0.0,0.0,1.2814525409574562,13488.16411987222,10525.683697809316,-273123.5446094705
4.0,2033.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,88461.25255687289,463725.99242233124,21237.97096073862,67223.28159613427,102500.0,0.0,0.0,1.3918850454510716,13488.16411987222,9690.57334436773,-263432.9712651028
5.0,2034.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,88461.25255687289,393813.7795623516,18549.03969689325,69912.21285997964,102500.0,0.0,0.0,1.511834358143936,13488.16411987222,8921.720853355593,-254511.2504117472
6.0,2035.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,88461.25255687289,321105.0781879728,15752.551182494064,72708.70137437883,102500.0,0.0,0.0,1.642120614726321,13488.16411987222,8213.869309545318,-246297.38110220188
7.0,2036.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,88461.25255687289,245488.0287586188,12844.203127518911,75617.04942935398,102500.0,0.0,0.0,1.78363462821396,13488.16411987222,7562.178882666443,-238735.20221953542
8.0,2037.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,88461.25255687289,166846.29735209065,9819.521150344752,78641.73140652814,102500.0,0.0,0.0,1.9373439797503316,13488.16411987222,6962.193735781738,-231773.00848375369
9.0,2038.0,30525.382921066557,2348.9816213829145,238000.0,6762.0001142835135,81315.96820980276,100804.39785743716,0.0,0.0,3200.0,44250.0,1600.0,1918.5422123963615,0.0,27771.4139030491,6893.574311099974,102664.94449668592,38332.39204211607,16067.918569478326,166787.28656913826,254157.15972154666,0.0,0.0,0.0,88461.25255687289,85058.89668930139,6673.851894083627,81787.40066278927,102500.0,0.0,0.0,2.1042996342996636,13488.16411987222,6409.811559160987,-225363.1969245927
